Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
etelänlaakasammal	Plagiothecium nemorale	NT (2019)	MX.43890	etelänlaakasammal
karvalaakasammal	Plagiothecium piliferum	LC (2019)	MX.43891	karvalaakasammal
purolaakasammal	Plagiothecium platyphyllum	EN (2019)	MX.43892	purolaakasammal
idänlaakasammal	Plagiothecium rossicum		MX.5095089	idänlaakasammal
harsulaakasammal	Plagiothecium succulentum	LC (2019)	MX.43894	harsulaakasammal
poimulaakasammal	Plagiothecium undulatum	LC (2019)	MX.43895	poimulaakasammal
	Plagiothecium decursivifolium		MX.5123544	
kolokiiltosammal	Pseudotaxiphyllum elegans	LC (2019)	MX.43951	kolokiiltosammal
lukinsammal	Platydictya jungermannioides	LC (2019)	MX.43896	lukinsammal
kivikoukerosammal	Lescuraea incurvata	EN (2019)	MX.200448	kivikoukerosammal
raspikoukerosammal	Lescuraea patens	CR (2019)	MX.200449	raspikoukerosammal
tunturikoukerosammal	Lescuraea plicata	CR (2019)	MX.200465	tunturikoukerosammal
pohjankoukerosammal	Lescuraea radicosa	LC (2019)	MX.200450	pohjankoukerosammal
kalliokoukerosammal	Lescuraea saxicola	LC (2019)	MX.43695	kalliokoukerosammal
vemmelvaskisammal	Pseudoleskeella nervosa	LC (2019)	MX.43946	vemmelvaskisammal
pohjanvaskisammal	Pseudoleskeella papillosa	VU (2019)	MX.43947	pohjanvaskisammal
idänvaskisammal	Pseudoleskeella rupestris	VU (2019)	MX.43948	idänvaskisammal
kalliovaskisammal	Pseudoleskeella tectorum	LC (2019)	MX.43949	kalliovaskisammal
nuorasammal	Pterigynandrum filiforme	LC (2019)	MX.43954	nuorasammal
	Pterigynandrum filiforme var. filiforme	LC (2019)	MX.325086	
	Pterigynandrum filiforme var. majus	LC (2019)	MX.325087	
tundrapalmikkosammal	Aquilonium plicatulum	CR (2019)	MX.200532	tundrapalmikkosammal
pahtapalmikkosammal	Buckia vaucheri	VU (2019)	MX.43680	pahtapalmikkosammal
otaluhtasammal	Calliergonella cuspidata	LC (2019)	MX.43484	otaluhtasammal
sirppiluhtasammal	Calliergonella lindbergii	LC (2019)	MX.43485	sirppiluhtasammal
lenkosammal	Homomallium incurvatum	LC (2019)	MX.43656	lenkosammal
sulkasammal	Ptilium crista-castrensis	LC (2019)	MX.43956	sulkasammal
kujasammal	Pylaisia polyantha	LC (2019)	MX.43957	kujasammal
tunturipalmikkosammal	Roaldia revoluta	LC (2019)	MX.43679	tunturipalmikkosammal
näädänsammal	Platygyrium repens	LC (2019)	MX.43897	näädänsammal
poimusammal	Rhytidium rugosum	LC (2019)	MX.43984	poimusammal
lettosirppisammal	Scorpidium cossonii	LC (2019)	MX.44017	lettosirppisammal
rimpisirppisammal	Scorpidium revolvens	LC (2019)	MX.44018	rimpisirppisammal
lettolierosammal	Scorpidium scorpioides	LC (2019)	MX.44019	lettolierosammal
lapinsirppisammal	Hamatocaulis lapponicus	VU (2019)	MX.43643	lapinsirppisammal
kiiltosirppisammal	Hamatocaulis vernicosus	NT (2019)	MX.43644	kiiltosirppisammal
rantakamppisammal	Sanionia orthothecioides	DD (2019)	MX.43987	rantakamppisammal
metsäkamppisammal	Sanionia uncinata	LC (2019)	MX.43988	metsäkamppisammal
tunturikamppisammal	Sanionia nivalis	EN (2019)	MX.200521	tunturikamppisammal
koukkupurosammal	Hygrohypnella ochracea	LC (2019)	MX.43664	koukkupurosammal
vuoripalmikkosammal	Stereodon callichrous	VU (2019)	MX.43672	vuoripalmikkosammal
pohjanpalmikkosammal	Stereodon hamulosus	VU (2019)	MX.43674	pohjanpalmikkosammal
vuomapalmikkosammal	Stereodon holmenii	NT (2019)	MX.43675	vuomapalmikkosammal
lehtopalmikkosammal	Stereodon pratensis	LC (2019)	MX.43832	lehtopalmikkosammal
taigapalmikkosammal	Stereodon subimponens	CR (2019)	MX.200480	taigapalmikkosammal
kimmelsammal	Taxiphyllum wissgrillii	LC (2019)	MX.44081	kimmelsammal
ketohavusammal	Abietinella abietina	LC (2019)	MX.43768	ketohavusammal
kampasammal	Helodium blandowii	LC (2019)	MX.43647	kampasammal
sironeidonsammal	Thuidium assimile	LC (2019)	MX.44093	sironeidonsammal
etelänneidonsammal	Thuidium delicatulum	LC (2019)	MX.44094	etelänneidonsammal
ahoneidonsammal	Thuidium recognitum	LC (2019)	MX.44095	ahoneidonsammal
lehtoneidonsammal	Thuidium tamariscinum	LC (2019)	MX.44096	lehtoneidonsammal
kimppuhiippasammal	Lewinskya fastigiata	LC (2019)	MX.5076716	kimppuhiippasammal
puistohiippasammal	Lewinskya affinis	LC (2019)	MX.5104728	puistohiippasammal
sirohiippasammal	Lewinskya elegans		MX.5076710	sirohiippasammal
rotkohiippasammal	Lewinskya laevigata	CR (2019)	MX.200519	rotkohiippasammal
lokinhiippasammal	Lewinskya pylaisii	LC (2019)	MX.43745	lokinhiippasammal
kalliohiippasammal	Lewinskya rupestris	LC (2019)	MX.43746	kalliohiippasammal
tikanhiippasammal	Lewinskya speciosa	LC (2019)	MX.43747	tikanhiippasammal
silohiippasammal	Lewinskya striata	EN (2019)	MX.43749	silohiippasammal
kaarnahiippasammal	Nyholmiella gymnostoma	VU (2019)	MX.43738	kaarnahiippasammal
haapahiippasammal	Nyholmiella obtusifolia	LC (2019)	MX.43740	haapahiippasammal
pahtahiippasammal	Orthotrichum alpestre	LC (2019)	MX.43734	pahtahiippasammal
kalkkihiippasammal	Orthotrichum anomalum	LC (2019)	MX.43735	kalkkihiippasammal
etelänhiippasammal	Orthotrichum cupulatum	EN (2019)	MX.43736	etelänhiippasammal
tammihiippasammal	Orthotrichum diaphanum	LC (2019)	MX.43737	tammihiippasammal
kalvashiippasammal	Orthotrichum pallens	LC (2019)	MX.43741	kalvashiippasammal
kertunhiippasammal	Orthotrichum patens	CR (2019)	MX.43742	kertunhiippasammal
tunturihiippasammal	Orthotrichum pellucidum	CR (2019)	MX.43743	tunturihiippasammal
punahiippasammal	Orthotrichum pulchellum		MX.5109995	punahiippasammal
pikkuhiippasammal	Orthotrichum pumilum	LC (2019)	MX.43744	pikkuhiippasammal
kerihiippasammal	Orthotrichum schimperi	DD (2019)	MX.200482	kerihiippasammal
hakahiippasammal	Orthotrichum stramineum	EN (2019)	MX.43748	hakahiippasammal
paasihiippasammal	Orthotrichum urnigerum	CR (2019)	MX.43750	paasihiippasammal
takkurannikkosammal	Plenogemma phyllantha	VU (2019)	MX.43859	takkurannikkosammal
isohiippasammal	Pulvigera lyellii	CR (2019)	MX.43739	isohiippasammal
pohjantakkusammal	Ulota curvifolia	LC (2019)	MX.43856	pohjantakkusammal
uurretakkusammal	Ulota drummondii	CR (2019)	MX.43857	uurretakkusammal
kalliotakkusammal	Ulota hutchinsiae	NT (2019)	MX.43858	kalliotakkusammal
tammitakkusammal	Ulota crispa	DD (2019)	MX.43855	tammitakkusammal
haapatakkusammal	Ulota bruchii	LC (2019)	MX.200530	haapatakkusammal
eteläntakkusammal	Ulota intermedia	LC (2000)	MX.5102538	eteläntakkusammal
etelänuurresammal	Zygodon conoideus	EN (2019)	MX.43871	etelänuurresammal
kalliouurresammal	Zygodon rupestris	LC (2019)	MX.43872	kalliouurresammal
pikku-uurresammal	Zygodon stirtonii	CR (2019)	MX.200457	pikku-uurresammal
viheruurresammal	Zygodon viridissimus	CR (2019)	MX.43873	viheruurresammal
kenosammal	Amblyodon dealbatus	CR (2019)	MX.43772	kenosammal
pohjannuijasammal	Meesia hexasticha	CR (2019)	MX.43700	pohjannuijasammal
isonuijasammal	Meesia longiseta	EN (2019)	MX.43701	isonuijasammal
kairasammal	Meesia triquetra	LC (2019)	MX.43702	kairasammal
tihkunuijasammal	Meesia uliginosa	LC (2019)	MX.43703	tihkunuijasammal
keronuijasammal	Meesia minutissima		MX.5020226	keronuijasammal
rassisammal	Paludella squarrosa	LC (2019)	MX.43752	rassisammal
päärynäsammal	Leptobryum pyriforme	LC (2019)	MX.43689	päärynäsammal
sopulinsammal	Aplodon wormskioldii	DD (2019)	MX.43798	sopulinsammal
päärynäsompasammal	Splachnum ampullaceum	LC (2019)	MX.44071	päärynäsompasammal
keltasompasammal	Splachnum luteum	LC (2019)	MX.44072	keltasompasammal
pohjansompasammal	Splachnum melanocaulon	CR (2019)	MX.44073	pohjansompasammal
punasompasammal	Splachnum rubrum	LC (2019)	MX.44074	punasompasammal
jouhisompasammal	Splachnum sphaericum	LC (2019)	MX.44075	jouhisompasammal
pallosompasammal	Splachnum vasculosum	LC (2019)	MX.44076	pallosompasammal
paljakkamarrassammal	Tayloria froelichiana	CR (2019)	MX.44082	paljakkamarrassammal
lettomarrassammal	Tayloria lingulata	LC (2019)	MX.44083	lettomarrassammal
lapinmarrassammal	Tayloria splachnoides	CR (2019)	MX.44084	lapinmarrassammal
haisumarrassammal	Tayloria tenuis	NT (2019)	MX.44085	haisumarrassammal
poronraatosammal	Tetraplodon angustatus	LC (2019)	MX.44087	poronraatosammal
jänönraatosammal	Tetraplodon mnioides	LC (2019)	MX.44088	jänönraatosammal
tunturiraatosammal	Tetraplodon pallidus	EN (2019)	MX.44089	tunturiraatosammal
naparaatosammal	Tetraplodon paradoxus	CR (2019)	MX.44090	naparaatosammal
kalliokaviosammal	Buxbaumia aphylla	LC (2019)	MX.43477	kalliokaviosammal
lahokaviosammal	Buxbaumia viridis	EN (2019)	MX.43478	lahokaviosammal
kuulasammal	Archidium alternifolium	EN (2019)	MX.43799	kuulasammal
mustapääsammal	Catoscopium nigritum	LC (2019)	MX.43494	mustapääsammal
tummauurnasammal	Amphidium lapponicum	LC (2019)	MX.43781	tummauurnasammal
paakku-uurnasammal	Amphidium mougeotii	LC (2019)	MX.43782	paakku-uurnasammal
pikkuvesikonsammal	Dichodontium pellucidum	LC (2019)	MX.43521	pikkuvesikonsammal
piirtosammal	Aongstroemia longipes	EN (2019)	MX.43797	piirtosammal
isovesikonsammal	Diobelonella palustris	LC (2019)	MX.200483	isovesikonsammal
rutakaulasammal	Trematodon ambiguus	LC (2019)	MX.43853	rutakaulasammal
oikokaulasammal	Trematodon laetevirens	CR (2019)	MX.43854	oikokaulasammal
tunturikaulasammal	Trematodon brevicollis	CR (2019)	MX.200529	tunturikaulasammal
taigakynsisammal	Dicranum acutifolium	LC (2019)	MX.43537	taigakynsisammal
äimäkynsisammal	Dicranum angustum	LC (2019)	MX.43538	äimäkynsisammal
lettokynsisammal	Dicranum bonjeanii	LC (2019)	MX.43540	lettokynsisammal
kalkkikynsisammal	Dicranum brevifolium	LC (2019)	MX.43541	kalkkikynsisammal
pohjankynsisammal	Dicranum drummondii	LC (2019)	MX.43542	pohjankynsisammal
tunturikynsisammal	Dicranum elongatum	LC (2019)	MX.43543	tunturikynsisammal
kerkkäkynsisammal	Dicranum flagellare	LC (2019)	MX.43544	kerkkäkynsisammal
karhunkynsisammal	Dicranum flexicaule	LC (2019)	MX.43545	karhunkynsisammal
haprakynsisammal	Dicranum fragilifolium	LC (2019)	MX.43546	haprakynsisammal
turkkikynsisammal	Dicranum fuscescens	LC (2019)	MX.43547	turkkikynsisammal
palsakynsisammal	Dicranum groenlandicum	EN (2019)	MX.43548	palsakynsisammal
napakynsisammal	Dicranum laevidens	CR (2019)	MX.43549	napakynsisammal
lännenkynsisammal	Dicranum leioneuron	LC (2019)	MX.43550	lännenkynsisammal
isokynsisammal	Dicranum majus	LC (2019)	MX.43551	isokynsisammal
pörrökynsisammal	Dicranum montanum	LC (2019)	MX.43552	pörrökynsisammal
kangaskynsisammal	Dicranum polysetum	LC (2019)	MX.43553	kangaskynsisammal
kivikynsisammal	Dicranum scoparium	LC (2019)	MX.43554	kivikynsisammal
takkukynsisammal	Dicranum septentrionale	NE (2019)	MX.214539	takkukynsisammal
paljakkakynsisammal	Dicranum spadiceum	VU (2019)	MX.43555	paljakkakynsisammal
töppökynsisammal	Dicranum spurium	LC (2019)	MX.43556	töppökynsisammal
etelänkynsisammal	Dicranum tauricum	EN (2019)	MX.43557	etelänkynsisammal
rämekynsisammal	Dicranum undulatum	LC (2019)	MX.200512	rämekynsisammal
katkokynsisammal	Dicranum viride	EN (2019)	MX.43558	katkokynsisammal
tunturiturkkisammal	Paraleucobryum enerve	DD (2019)	MX.43756	tunturiturkkisammal
kiviturkkisammal	Paraleucobryum longifolium	LC (2019)	MX.43757	kiviturkkisammal
ojanukkasammal	Dicranella cerviculata	LC (2019)	MX.43522	ojanukkasammal
tuppinukkasammal	Dicranella crispa	LC (2019)	MX.43523	tuppinukkasammal
uurrenukkasammal	Dicranella grevilleana	NT (2019)	MX.43524	uurrenukkasammal
törmänukkasammal	Dicranella heteromalla	LC (2019)	MX.43525	törmänukkasammal
rantanukkasammal	Dicranella humilis	NT (2019)	MX.43526	rantanukkasammal
ruskonukkasammal	Dicranella rufescens	NT (2019)	MX.43528	ruskonukkasammal
törrönukkasammal	Dicranella schreberiana	LC (2019)	MX.43529	törrönukkasammal
peltonukkasammal	Dicranella staphylina	LC (2019)	MX.43530	peltonukkasammal
äimänukkasammal	Dicranella subulata	LC (2019)	MX.43531	äimänukkasammal
kalkkinukkasammal	Dicranella varia	LC (2019)	MX.43532	kalkkinukkasammal
kalkkikahtaissammal	Distichium capillaceum	LC (2019)	MX.43567	kalkkikahtaissammal
pohjankahtaissammal	Distichium hagenii	RE (2019)	MX.43568	pohjankahtaissammal
kaarikahtaissammal	Distichium inclinatum	VU (2019)	MX.43569	kaarikahtaissammal
kalkkikulosammal	Ceratodon conicus	CR (2019)	MX.43495	kalkkikulosammal
metsäkulosammal	Ceratodon purpureus	LC (2019)	MX.43496	metsäkulosammal
piennarkarvasammal	Ditrichum heteromallum	LC (2019)	MX.43573	piennarkarvasammal
pohjankarvasammal	Ditrichum lineare	DD (2019)	MX.200503	pohjankarvasammal
pikkukarvasammal	Ditrichum pusillum	LC (2019)	MX.43574	pikkukarvasammal
tunturikarvasammal	Ditrichum zonatum	LC (2019)	MX.43575	tunturikarvasammal
ojaäimäsammal	Pleuridium acuminatum	CR (2019)	MX.43899	ojaäimäsammal
saviäimäsammal	Pleuridium subulatum	NT (2019)	MX.43900	saviäimäsammal
törrösammal	Trichodon cylindricus	LC (2019)	MX.200487	törrösammal
orvonsammal	Pseudephemerum nitidum	LC (2019)	MX.43940	orvonsammal
lettosiipisammal	Fissidens adianthoides	LC (2019)	MX.43603	lettosiipisammal
kalvassiipisammal	Fissidens dubius	DD (2019)	MX.43605	kalvassiipisammal
kääpiösiipisammal	Fissidens exilis	NT (2019)	MX.43606	kääpiösiipisammal
hentosiipisammal	Fissidens gracilifolius	CR (2019)	MX.43607	hentosiipisammal
rantasiipisammal	Fissidens osmundoides	LC (2019)	MX.43609	rantasiipisammal
koskisiipisammal	Fissidens pusillus	LC (2019)	MX.43610	koskisiipisammal
lehtosiipisammal	Fissidens taxifolius	DD (2019)	MX.43611	lehtosiipisammal
vellamonsammal	Fissidens fontanus	LC (2019)	MX.200475	vellamonsammal
pikkusiipisammal	Fissidens bryoides	EN (2019)	MX.43604	pikkusiipisammal
tulvasiipisammal	Fissidens gymnandrus	VU (2019)	MX.43608	tulvasiipisammal
savikkosiipisammal	Fissidens viridulus	LC (2019)	MX.43612	savikkosiipisammal
kalkkikarvasammal	Flexitrichum flexicaule	LC (2019)	MX.43572	kalkkikarvasammal
isokarvasammal	Flexitrichum gracile	EN (2019)	MX.200513	isokarvasammal
paljakkakiharasammal	Hymenoloma compactum	CR (2019)	MX.43535	paljakkakiharasammal
rantakiharasammal	Hymenoloma crispulum	LC (2019)	MX.43536	rantakiharasammal
jouhisammal	Dicranodontium denudatum	EN (2019)	MX.43533	jouhisammal
hohkasammal	Leucobryum glaucum	LC (2019)	MX.43697	hohkasammal
pampulasammal	Acaulon muticum	CR (2019)	MX.43769	pampulasammal
piennarkourasammal	Aloina brevirostris	NA (2019)	MX.43770	piennarkourasammal
törrökourasammal	Aloina rigida	NA (2019)	MX.43771	törrökourasammal
muhkusammal	Anoectangium aestivum	VU (2019)	MX.43790	muhkusammal
ojatumpurasammal	Barbula unguiculata	LC (2019)	MX.43808	ojatumpurasammal
ruostetyvisammal	Bryoerythrophyllum ferruginascens	CR (2019)	MX.43833	ruostetyvisammal
punatyvisammal	Bryoerythrophyllum recurvirostrum	LC (2019)	MX.43834	punatyvisammal
turrisammal	Chionoloma tenuirostre	VU (2019)	MX.43751	turrisammal
kalkkitumpurasammal	Didymodon fallax	LC (2019)	MX.43559	kalkkitumpurasammal
sirppitumpurasammal	Didymodon ferrugineus	NT (2019)	MX.43560	sirppitumpurasammal
eteläntumpurasammal	Didymodon insulanus	CR (2019)	MX.43562	eteläntumpurasammal
itutumpurasammal	Didymodon rigidulus	LC (2019)	MX.43563	itutumpurasammal
rantatumpurasammal	Didymodon tophaceus	CR (2019)	MX.43564	rantatumpurasammal
vankkatumpurasammal	Didymodon validus		MX.5104321	vankkatumpurasammal
rikkamieronsammal	Ephemerum crassinervium	CR (2019)	MX.43596	rikkamieronsammal
	Ephemerum crassinervium subsp. sessile	CR (2019)	MX.214714	
kalkkimieronsammal	Ephemerum recurvifolium	CR (2019)	MX.43594	kalkkimieronsammal
rosomieronsammal	Ephemerum serratum	CR (2019)	MX.43595	rosomieronsammal
viherpahkasammal	Gymnostomum aeruginosum	NT (2019)	MX.43640	viherpahkasammal
kalkkipahkasammal	Gymnostomum calcareum	CR (2019)	MX.43641	kalkkipahkasammal
nallikkasammal	Gyroweisia tenuis	CR (2019)	MX.43642	nallikkasammal
merilapiosammal	Hennediella heimii	LC (2019)	MX.43648	merilapiosammal
kalliopahkurasammal	Hymenostylium recurvirostrum	LC (2019)	MX.43669	kalliopahkurasammal
rikkatoukosammal	Microbryum davallianum	CR (2019)	MX.43704	rikkatoukosammal
alvaritoukosammal	Microbryum davallianum var. conicum	CR (2019)	MX.43705	alvaritoukosammal
	Microbryum davallianum var. davallianum	CR (2019)	MX.213757	
hitutoukosammal	Microbryum floerkeanum	EN (2019)	MX.43706	hitutoukosammal
pyrstösammal	Pterygoneurum ovatum	NA (2019)	MX.43955	pyrstösammal
keräsammal	Stegonia latifolia	CR (2019)	MX.44077	keräsammal
pikkutumpurasammal	Streblotrichum convolutum	LC (2019)	MX.43807	pikkutumpurasammal
lapinpartasammal	Syntrichia norvegica	LC (2019)	MX.44079	lapinpartasammal
ketopartasammal	Syntrichia ruralis	LC (2019)	MX.44080	ketopartasammal
	Syntrichia ruralis var. ruralis	LC (2019)	MX.313528	
	Syntrichia ruralis var. epilosa	LC (2019)	MX.5074473	
hietikkopartasammal	Syntrichia ruraliformis		MX.313527	hietikkopartasammal
tunturikiertosammal	Tortella alpicola		MX.5082105	tunturikiertosammal
ruostekiertosammal	Tortella densa		MX.5079625	ruostekiertosammal
	Tortella fasciculata		MX.5124691	
	Tortella fragilis	LC (2019)	MX.5125141	
	Tortella fragmenta	LC (2019)	MX.5125142	
etelänkiertosammal	Tortella inclinata	NT (2019)	MX.44104	etelänkiertosammal
	Tortella pseudofragilis		MX.5124961	
jäykkäkiertosammal	Tortella rigens	CR (2019)	MX.214544	jäykkäkiertosammal
	Tortella angustifolia	LC (2019)	MX.5124442	
	Tortella commutata	LC (2019)	MX.5124441	
	Tortella robusta	LC (2019)	MX.5103510	
	Tortella tortuosa	LC (2019)	MX.5105121	
silmulapiosammal	Tortula acaulon	LC (2019)	MX.44106	silmulapiosammal
	Tortula acaulon var. acaulon	LC (2019)	MX.324980	
	Tortula acaulon var. papillosa	LC (2019)	MX.313501	
	Tortula acaulon var. pilifera	LC (2019)	MX.313502	
peltolapiosammal	Tortula caucasica	EN (2019)	MX.214706	peltolapiosammal
nuokkulapiosammal	Tortula cernua	CR (2019)	MX.44107	nuokkulapiosammal
tunturilapiosammal	Tortula hoppeana	LC (2019)	MX.200453	tunturilapiosammal
kalkkilapiosammal	Tortula mucronifolia	CR (2019)	MX.43848	kalkkilapiosammal
muurilapiosammal	Tortula muralis	LC (2019)	MX.43849	muurilapiosammal
umpisammal	Tortula protobryoides	CR (2019)	MX.325000	umpisammal
etelänlapiosammal	Tortula subulata	LC (2019)	MX.43850	etelänlapiosammal
alppilapiosammal	Tortula systylia	CR (2019)	MX.43851	alppilapiosammal
savikkolapiosammal	Tortula truncata	LC (2019)	MX.43852	savikkolapiosammal
törmäsykerösammal	Weissia brachycarpa	EN (2019)	MX.43867	törmäsykerösammal
ojasykerösammal	Weissia controversa	LC (2019)	MX.43868	ojasykerösammal
	Weissia controversa var. crispata	LC (2019)	MX.313499	
	Weissia controversa var. controversa	LC (2019)	MX.324979	
umpisykerösammal	Weissia longifolia	EN (2019)	MX.43869	umpisykerösammal
törrösykerösammal	Weissia squarrosa	CR (2019)	MX.43870	törrösykerösammal
paljakkanapasammal	Arctoa fulvella	VU (2019)	MX.43800	paljakkanapasammal
kallionapasammal	Arctoa hyperborea	CR (2019)	MX.43801	kallionapasammal
luminapasammal	Arctoa anderssonii		MX.5102904	luminapasammal
risatorasammal	Cynodontium bruntonii	VU (2019)	MX.43511	risatorasammal
lännentorasammal	Cynodontium jenneri	CR (2019)	MX.43512	lännentorasammal
eteläntorasammal	Cynodontium polycarpon	LC (2019)	MX.43513	eteläntorasammal
kyhmytorasammal	Cynodontium strumiferum	LC (2019)	MX.43514	kyhmytorasammal
isotorasammal	Cynodontium suecicum	VU (2019)	MX.43515	isotorasammal
kalliotorasammal	Cynodontium tenellum	LC (2019)	MX.43516	kalliotorasammal
etelänpörrösammal	Dicranoweisia cirrata	NT (2019)	MX.43534	etelänpörrösammal
kallioahmansammal	Kiaeria blyttii	LC (2019)	MX.43685	kallioahmansammal
sirppiahmansammal	Kiaeria falcata	NE (2019)	MX.43686	sirppiahmansammal
paljakka-ahmansammal	Kiaeria glacialis	VU (2019)	MX.43687	paljakka-ahmansammal
somerahmansammal	Kiaeria riparia	CR (2019)	MX.200518	somerahmansammal
tunturiahmansammal	Kiaeria starkei	NT (2019)	MX.43688	tunturiahmansammal
ryhmytihkusammal	Oncophorus demetrii		MX.4985833	ryhmytihkusammal
isotihkusammal	Oncophorus sinensis	LC (2019)	MX.200501	isotihkusammal
silotihkusammal	Oncophorus integerrimus	NE (2019)	MX.4985813	silotihkusammal
sahatihkusammal	Oncophorus virens	LC (2019)	MX.43726	sahatihkusammal
pikkutihkusammal	Oncophorus wahlenbergii	LC (2019)	MX.43727	pikkutihkusammal
kolokärpänsammal	Rhabdoweisia crispata	EN (2019)	MX.43971	kolokärpänsammal
kalliokärpänsammal	Rhabdoweisia fugax	LC (2019)	MX.43972	kalliokärpänsammal
lapintöppösammal	Cnestrum alpestre	LC (2019)	MX.43503	lapintöppösammal
tunturitöppösammal	Cnestrum glaucescens	EN (2019)	MX.43504	tunturitöppösammal
kalliotöppösammal	Cnestrum schisti	LC (2019)	MX.43505	kalliotöppösammal
aarnisammal	Schistostega pennata	VU (2019)	MX.44016	aarnisammal
kolusammal	Coscinodon cribrosus	VU (2019)	MX.43508	kolusammal
alppikivisammal	Grimmia alpestris	VU (2019)	MX.43618	alppikivisammal
kyttyräkivisammal	Grimmia anodon	EN (2019)	MX.43619	kyttyräkivisammal
itukivisammal	Grimmia anomala	VU (2019)	MX.43620	itukivisammal
tupsukivisammal	Grimmia arenaria	CR (2019)	MX.43621	tupsukivisammal
kuparikivisammal	Grimmia atrata	CR (2019)	MX.200462	kuparikivisammal
lännenkivisammal	Grimmia decipiens	CR (2019)	MX.43623	lännenkivisammal
